GVKEY,Company Name,Ticker,CIK,Is the folder present?,,
10950,U S HOME CORP,UH,101640,No,,
7017,MARATHON OIL CORP,MRO,101778,Yes,,
10972,U S SURGICAL CORP,USS.2,101788,No,,
10983,UNITED TECHNOLOGIES CORP,UTX,101829,No,,
10984,SPRINT CORP,S,101830,Yes,,
11049,USLIFE CORP,USH.1,102420,No,,
11060,VF CORP,VFC,103379,Yes,,
11259,WALMART INC,WMT,104169,Yes,,
11278,WANG LABS INC,WANG,104519,No,,
3054,CIRCUIT CITY STORES INC,CCTYQ,104599,Yes,,
11288,WARNER-LAMBERT CO,WLA,104669,No,,
11300,GRAHAM HOLDINGS CO,GHC,104889,No,,
11306,WASTE MANAGEMENT INC-OLD,WMX,104938,No,,
11359,WELLS FARGO & CO -OLD,WFC.Z,105598,No,,
6223,EMCOR GROUP INC,EME,105634,No,,
11366,WENDY'S INTERNATIONAL INC,WEN.2,105668,Yes,,
4710,FIRST INTERSTATE BNCP,I.1,105982,No,,
11399,WESTERN DIGITAL CORP,WDC,106040,Yes,,
11436,CBS CORP -OLD,CBS.2,106413,No,,
11440,WESTMORELAND COAL CO,WLBAQ,106455,No,,
11453,WETTERAU INC,WETT,106521,No,,
11456,WEYERHAEUSER CO,WY,106535,Yes,,
11465,WHIRLPOOL CORP,WHR,106640,Yes,,
11502,WILLAMETTE INDUSTRIES,WLL.1,107189,Yes,,
11506,WILLIAMS COS INC,WMB,107263,No,,
11535,WINN-DIXIE STORES INC,WINN,107681,No,,
11600,WORTHINGTON INDUSTRIES,WOR,108516,Yes,,
11609,WRIGLEY (WM) JR CO,WWY,108601,No,,
11636,XEROX CORP,XRX,108772,Yes,,
11672,TJX COS INC (THE),TJX,109198,Yes,,
11678,ZENITH ELECTRONICS CORP,ZE,109265,No,,
11687,ZIONS BANCORPORATION NA,ZION,109380,Yes,,
11691,ZURN INDUSTRIES INC,ZRN,109446,No,,
10846,UNILEVER NV,UN,110390,No,,
8537,CITIGROUP GLOBAL MKTS HLDGS,C2,200245,No,,
6266,JOHNSON & JOHNSON,JNJ,200406,No,,
5492,HARRIS CORP,HRS,202058,Yes,,
9372,ST JUDE MEDICAL INC,STJ,203077,No,,
11115,VARIAN MEDICAL SYSTEMS INC,VAR,203527,Yes,,
3782,CATTLESALE CO,CTLE.,205239,No,,
6475,KNIGHT-RIDDER INC,KRI,205520,Yes,,
8545,PHILIPS INDUSTRIES INC,PHL.1,205778,No,,
5860,ITT INC,ITT,216228,Yes,,
10519,TEXTRON INC,TXT,217346,Yes,,
5256,GRAINGER (W W) INC,GWW,277135,Yes,,
7727,NATIONAL EDUCATION CORP,NEC,277821,No,,
2574,CSX CORP,CSX,277948,Yes,,
10232,SYMBOL TECHNOLOGIES,SBL.2,278352,Yes,,
7257,MERCK & CO,MRK,310158,Yes,,
5399,HBO & CO,HBOC.1,310377,No,,
4601,FEDERAL NATIONAL MORTGA ASSN,FNMA,310522,Yes,,
1663,ANHEUSER-BUSCH COS INC,BUD.2,310569,Yes,,
10115,STRYKER CORP,SYK,310764,Yes,,
4189,EASTERN ENTERPRISES,EFU.1,311259,Yes,,
3735,DANAHER CORP,DHR,313616,Yes,,
3026,CHURCH & DWIGHT INC,CHD,313927,Yes,,
4768,FLEETWOOD ENTERPRISES INC,FLTWQ,314132,Yes,,
5458,HANDLEMAN CO,HDLM,314727,No,,
2270,ENSCO ROWAN PLC,ESV,314808,Yes,,
10329,TANDEM COMPUTERS INC,TDM.,315180,No,,
3835,DEERE & CO,DE,315189,No,,
2312,ROBERT HALF INTL INC,RHI,315213,Yes,,
3221,AON PLC,AON,315293,Yes,,
6788,RANGE RESOURCES CORP,RRC,315852,Yes,,
3705,DSC COMMUNICATIONS CORP,DIGI.1,316004,No,,
5723,STARWOOD HOTELS&RESORTS WRLD,HOT,316206,Yes,,
13988,SCHWAB (CHARLES) CORP,SCHW,316709,Yes,,
1651,ANDREW CORP,ANDW,317093,Yes,,
5080,GENERAL RE CORP,GRN.1,317745,No,,
10420,TELLABS INC,TLAB,317771,No,,
1602,AMGEN INC,AMGN,318154,Yes,,
5020,GENENTECH INC,DNA,318771,No,,
6304,KLA-TENCOR CORP,KLAC,319201,Yes,,
9563,SEARS ROEBUCK & CO,S.1,319256,Yes,,
7906,NIKE INC  -CL B,NKE,320187,Yes,,
1690,APPLE INC,AAPL,320193,Yes,,
10614,TORCHMARK CORP,TMK,320335,No,,
10277,TECO ENERGY INC,TE,350563,No,,
9063,AUTONATION INC,AN,350698,Yes,,
6036,INTERGRAPH CORP,INGR.,351145,No,,
2230,BIOMET INC,5938B,351346,Yes,,
8325,PANENERGY CORP,PEL.1,351696,No,,
6768,KATE SPADE & CO,KATE,352363,Yes,,
15202,NORTH FORK BANCORPORATION,NFB,352510,No,,
11554,ALLIANT ENERGY CORP,LNT,352541,No,,
11032,UNIVERSAL HEALTH SVCS INC,UHS,352915,Yes,,
4371,ENGELHARD CORP,EC.2,352947,Yes,,
4769,FLEMING COMPANIES INC,FLMIQ,352949,No,,
6097,INTL GAME TECHNOLOGY,IGT.1,353944,Yes,,
4973,ARTHUR J GALLAGHER & CO,AJG,354190,No,,
10815,USF&G CORP,FG.1,354396,No,,
6998,MANOR CARE INC-OLD,MNR.1,354604,No,,
28477,FLIR SYSTEMS INC,FLIR,354908,Yes,,
5680,HOME DEPOT INC,HD,354950,No,,
9545,SEAGATE TECHNOLOGY-OLD,SEG.2,354952,No,,
5735,HSBC FINANCE CORP,HBC1,354964,Yes,,
9298,RYAN'S RESTAURANT GROUP INC,RYAN,355622,No,,
3310,CA INC,CA,356028,No,,
8746,PRICE CO,PCLB.1,356461,No,,
4800,FLORIDA PROGRESS CORP,PGN3,357261,No,,
9168,CALIBER SYSTEMS INC,CBB.1,701708,No,,
9224,SAFETY-KLEEN CORP,SKLNQ,701856,No,,
6733,L BRANDS INC,LB,701985,No,,
7923,NORFOLK SOUTHERN CORP,NSC,702165,Yes,,
6529,LSI CORP,LSI.1,703360,Yes,,
6653,LEGG MASON INC,LM,704051,Yes,,
3011,CHIRON CORP,CHIR.1,706539,Yes,,
6565,LAM RESEARCH CORP,LRCX,707549,Yes,,
7152,MCDERMOTT INTL INC,MDR,708819,Yes,,
12136,SUN MICROSYSTEMS INC,JAVA,709519,Yes,,
12256,STEEL EXCEL INC,SXCL,709804,No,,
3491,BLOCKBUSTER ENMNT CORP,BV.2,710979,No,,
